# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 71.000000,  0.000000,  2.760000,  6.709398,  0.422965,  0.003213, 45.140335,  1.656744,  0.764110,  2.061977,  0.276553,  0.934523, 27.580650,133.316483,  9.338679,  0.036145,  0.143775,  0.820080,  0.042648,  0.690854,  0.280552,  0.028582,  0.971405,  0.021367
 72.000000,  0.000000,  4.230000,  7.255006,  0.589442,  0.001482, 93.727150,  2.425914,  0.789033,  1.156045,  0.298940,  0.541163, 35.998104,732.618286,  4.605400,  0.020451,  0.156491,  0.823059,  0.086426,  0.224143,  0.725089,  0.050726,  0.949232,  0.027771
 73.000000,  0.000000, 10.210001, 10.844485,  2.099656,  0.000603,435.188965,  5.052046,  0.736999,  1.003154,  0.356744,  0.532975, 38.109879,8336.755859,  1.989383,  0.185770,  0.428218,  0.386011,  0.362334,  0.171005,  0.787087,  0.041881,  0.958092,  0.022386
 74.000000,  0.000000,  7.940000, 10.318928,  1.507664,  0.001017,304.266724,  4.453668,  0.819202,  1.627892,  0.341799,  0.917870, 38.798195,2632.046387,  4.485103,  0.055909,  0.151292,  0.792800,  0.189833,  0.268520,  0.680452,  0.050994,  0.948972,  0.028609
 75.000000,  0.000000,  4.370000, 10.294299,  0.676632,  0.000768,111.816490,  2.676351,  0.804990,  1.896934,  0.282664,  0.887439, 34.923290,550.616028,  7.092057,  0.037644,  0.212036,  0.750320,  0.089057,  0.438080,  0.453687,  0.108206,  0.891767,  0.064790
 76.000000,  0.000000, 10.850000, 13.088361,  2.094784,  0.000140,374.319763,  5.022025,  0.846691,  1.235548,  0.474420,  0.884239, 38.234688,4593.066895,  3.116001,  0.066308,  0.328046,  0.605646,  0.268356,  0.397769,  0.475528,  0.126678,  0.873297,  0.073272
 77.000000,  0.000000,  7.139999, 17.764523,  0.944210,  0.001207,147.737579,  3.140978,  0.839168,  1.426118,  0.477273,  0.941421, 39.258797,1120.482422,  5.176342,  0.030000,  0.118448,  0.851552,  0.129674,  0.618005,  0.227924,  0.154048,  0.845930,  0.100290
 78.000000,  0.000000,  3.830000, 10.996163,  0.679324,  0.005269, 50.748283,  1.837495,  0.836067,  1.458058,  0.423672,  0.905442, 37.400272,214.664093,  8.841721,  0.064278,  0.259747,  0.675975,  0.057815,  0.721906,  0.223617,  0.054458,  0.945523,  0.040868
 79.000000,  0.000000,  1.840000,  7.080451,  0.456945,  0.000873, 90.460724,  2.379049,  0.786243,  1.704451,  0.145685,  0.966581, 37.972279,172.202637, 19.947428,  0.378166,  0.395051,  0.226783,  0.090268,  0.167506,  0.765717,  0.066733,  0.933223,  0.035138
 80.000000,  0.000000,  5.889999,  9.660037,  0.844928,  0.001168,178.668152,  3.549808,  0.886283,  1.009958,  0.414788,  0.894897, 38.333633,1175.950928,  5.824223,  0.039860,  0.519930,  0.440210,  0.160787,  0.438698,  0.255225,  0.306039,  0.693924,  0.163893
